product_id,title,description,category,subcategory,price,currency,stock_qty,image_url,image_url_2,color,base_color,material_fabric,fit_or_build,style,occasions,upsell_to_product_id,upsell_to_title,upsell_delta_price,upsell_pitch,cross_sell_product_ids,cross_sell_product_titles,cross_sell_look_names,cross_sell_pitch
prod_201,Classic White Formal Shirt,A crisp white shirt in breathable cotton with a tailored fit and a clean spread collar — the reliable base layer for office and interview days.,Apparel,Shirts,549,INR,90,https://images.pexels.com/photos/38181258/pexels-photo-38181258.jpeg,,White,White,Cotton,Tailored,Formal,Office;Formal Events;Interviews,prod_202,Premium Silk-Blend Formal Shirt,350,Silk-cotton blend with a smoother sheen and softer drape — a sharper look for higher-stakes days.,prod_221|prod_231|prod_237|prod_240,Formal Straight-Fit Trousers|Classic Block Heels|Silver Chain Necklace|Rose Gold Analog Watch,Office Formal Look,Completes the Office Formal Look.
prod_202,Premium Silk-Blend Formal Shirt,A silk-cotton blend shirt with a noticeably smoother sheen and softer drape than plain cotton — built for days that call for a sharper look.,Apparel,Shirts,899,INR,40,https://images.pexels.com/photos/36621185/pexels-photo-36621185.jpeg,,Ivory,White,Silk-Cotton Blend,Tailored Slim,Formal,Office;Formal Events,prod_247,Luxury Egyptian Cotton Bespoke Shirt,1300,Egyptian cotton with French seams and bespoke fit — the durable heirloom above premium silk-blend.,prod_222|prod_232|prod_236|prod_240,Premium Tailored Trousers|Premium Leather Stilettos|Golden Layered Necklace|Rose Gold Analog Watch,Executive Formal Look,Completes the Executive Formal Look.
prod_203,Pastel Pink Button-Down Shirt,A soft pastel pink cotton shirt in a relaxed regular fit — an easy alternative to white for everyday office wear.,Apparel,Shirts,599,INR,75,https://images.pexels.com/photos/8545875/pexels-photo-8545875.jpeg,,Pastel Pink,Pink,Cotton,Regular,Smart Casual,Office;Daily Wear,prod_242,Handcrafted Silk-Blend Blouse,500,Silk-cotton hand-finish drapes softer and reads more upscale than plain cotton.,,,,
prod_204,Striped Cotton Shirt,"A navy-striped cotton shirt with a clean regular fit, sharp enough for the office and easy enough for a casual Friday.",Apparel,Shirts,649,INR,65,https://images.pexels.com/photos/10041246/pexels-photo-10041246.jpeg,,Navy Stripe,Blue,Cotton,Regular,Smart Casual,Office;Casual Fridays,prod_243,Premium Striped Poplin Shirt,400,"Finer poplin weave, mitred cuffs, and a sharper collar that holds shape all day.",prod_224|prod_233|prod_237,Culotte Formal Pants|Ballerina Flats|Silver Chain Necklace,Smart Casual Office Look,Completes the Smart Casual Office Look.
prod_205,Ruffle-Sleeve Blouse,A cream georgette blouse with soft ruffle sleeves — a feminine layer built for evening get-togethers rather than the desk.,Apparel,Shirts,799,INR,45,https://media.istockphoto.com/id/1400676471/photo/blonde-girl-in-photo-shoot-in-studio-with-white-background.jpg?b=1&s=612x612&w=0&k=20&c=JAi8NDOwo5slot5Q_xiXDjyrz_Km2f17blWp-rY6DmE=,,Cream,White,Georgette,Relaxed,Party,Evening Events;Parties,prod_206,Premium Satin Blouse,400,Satin's richer sheen and fitted cut make this the dressier pick for parties and date nights.,,,,
prod_206,Premium Satin Blouse,A champagne satin blouse with a fitted silhouette and a noticeably richer sheen than georgette — built for parties and date nights.,Apparel,Shirts,1199,INR,25,https://images.pexels.com/photos/37499474/pexels-photo-37499474.jpeg,,Champagne,Beige,Satin,Fitted,Party,Evening Events;Parties;Date Night,prod_244,Ultra-Luxe Silk Satin Ruffle Blouse,600,Heavy silk satin with hand-set ruffles — a genuine step above blended satin for high-stakes evenings.,prod_223|prod_232|prod_236|prod_238,High-Waist Formal Palazzos|Premium Leather Stilettos|Golden Layered Necklace|Signature Eau de Parfum,Evening Party Look,Completes the Evening Party Look.
prod_207,Chiffon Wrap Blouse,A blush pink chiffon blouse with a wrap-front tie — soft movement that works from a desk lunch straight into evening plans.,Apparel,Shirts,749,INR,50,https://images.pexels.com/photos/30373131/pexels-photo-30373131.jpeg,,Blush Pink,Pink,Chiffon,Relaxed,Smart Casual,Office;Evening Outings,prod_245,Premium Silk Wrap Blouse,600,Pure mulberry silk moves more fluidly than chiffon and lasts far longer wash after wash.,,,,
prod_208,Denim Shirt,A light-wash denim shirt in a relaxed regular fit — a sturdy layering piece for weekend errands and travel days.,Apparel,Shirts,699,INR,60,https://images.pexels.com/photos/10479275/pexels-photo-10479275.jpeg,,Light Blue,Blue,Denim,Regular,Casual,Daily Wear;Weekend,prod_246,Premium Chambray Weekend Shirt,500,Softer chambray weave with a tapered cut — casual-Friday sharp without losing the weekend feel.,,,,
prod_209,Classic Cotton Top,A simple white cotton top in a comfortable regular fit — the everyday layer that goes under anything.,Apparel,Tops,399,INR,120,https://images.pexels.com/photos/5276137/pexels-photo-5276137.jpeg,,White,White,Cotton,Regular,Casual,Daily Wear;Weekend,prod_210,Premium Modal Top,150,Modal fabric drapes softer and the tapered cut is more flattering than the basic cotton top.,,,,
prod_210,Premium Modal Top,A sage green modal top with a noticeably softer drape and a more tapered cut than the basic cotton version.,Apparel,Tops,549,INR,55,https://images.pexels.com/photos/26712041/pexels-photo-26712041.jpeg,,Sage Green,Green,Modal,Tapered,Smart Casual,Daily Wear;Casual Outings,,,,,,,,
prod_211,Floral Print Top,A yellow floral-print top in breathable rayon with a relaxed fit — an easy pick for brunch or a weekend getaway.,Apparel,Tops,449,INR,70,https://images.pexels.com/photos/3267614/pexels-photo-3267614.jpeg,,Yellow Floral,Yellow,Rayon,Relaxed,Casual,Weekend;Vacation,prod_210,Premium Modal Top,100,Modal drapes softer than rayon and feels cooler on warm-weather days.,prod_228|prod_233|prod_239,Straight Fit Mom Jeans|Ballerina Flats|Fresh Citrus Eau de Toilette,Weekend Brunch Look,Completes the Weekend Brunch Look.
prod_212,Halter Neck Top,"A black crepe halter-neck top with a fitted silhouette — built for evening plans, not the office.",Apparel,Tops,599,INR,40,https://images.pexels.com/photos/37049481/pexels-photo-37049481.jpeg,,Black,Black,Crepe,Fitted,Party,Evening Events;Parties,,,,,,,,
prod_213,Off-Shoulder Top,A red georgette off-shoulder top with a fitted waist — a statement piece for a date night or evening out.,Apparel,Tops,649,INR,45,https://media.istockphoto.com/id/821513224/photo/pretty-girl-posing-at-terrace.jpg?b=1&s=612x612&w=0&k=20&c=LaRCtJT9q3XkBBpL8KwkX8Rdf1Co1rLGbRqN2FsxZA0=,,Red,Red,Georgette,Fitted,Party,Evening Events;Date Night,,,,,prod_230|prod_235|prod_236|prod_238,Flared Jeans|Strappy Sandals|Golden Layered Necklace|Signature Eau de Parfum,Date Night Look,Completes the Date Night Look.
prod_214,Knit Tank Top,A grey melange ribbed-knit tank in a fitted cut — a simple base layer that works alone or under a jacket.,Apparel,Tops,349,INR,100,https://images.pexels.com/photos/18182429/pexels-photo-18182429.jpeg,,Grey Melange,Grey,Cotton-Rib Knit,Fitted,Casual,Daily Wear;Workout Layer,prod_210,Premium Modal Top,200,Modal in a tapered cut reads more polished than a basic ribbed cotton tank — daily-wear that dresses up easily.,,,,
prod_215,Wrap Front Top,A terracotta linen top with a wrap-front tie and a relaxed fit — breathable enough for a summer office day.,Apparel,Tops,599,INR,55,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM3Cs3gcqFVemVD51XiAXNs98JXby-IvtNX0ctxbJSug&s=10,,Terracotta,Orange,Linen,Relaxed,Smart Casual,Office;Weekend,,,,,prod_229|prod_234,Bootcut Jeans|Casual White Sneakers,Casual Layered Look,Completes the Casual Layered Look.
prod_216,Sequin Party Top,A silver sequin-embellished top with a fitted cut — built for New Year's Eve and dressed-up nights out.,Apparel,Tops,999,INR,25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMpnLgXbJRNjxEvKLGeuiYzebqCfLhcF3-SyX43vJxSQ&s=10,,Silver,Silver,Polyester with Sequin Work,Fitted,Party,Parties;New Year Eve,,,,,prod_223|prod_235|prod_236,High-Waist Formal Palazzos|Strappy Sandals|Golden Layered Necklace,New Year Party Look,Completes the New Year Party Look.
prod_217,Classic Round Neck Tee,A soft cotton tee in a classic round neck and regular fit — the reliable everyday basic.,Apparel,T-Shirts,299,INR,150,https://images.pexels.com/photos/10956683/pexels-photo-10956683.jpeg,,White,White,Cotton,Regular,Casual,Daily Wear;Weekend,prod_218,Premium Pima Cotton Tee,100,Long-staple Pima cotton feels softer and holds a more flattering fitted shape.,prod_226|prod_234|prod_239,Skinny Fit High-Rise Jeans|Casual White Sneakers|Fresh Citrus Eau de Toilette,Casual Weekend Look,Completes the Casual Weekend Look.
